0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,153,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,155,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,157,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,159,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,1
0.1,JMPNZ,138,$Loop,,,,,,
3.1,EndAttack,,,,,,,
